entry_time,exit_time,direction,entry_price,sl_price,tp_price,exit_price,exit_reason,pnl_pct,mae_pct,mfe_pct,duration_minutes,smallest_tf
2026-05-02 02:29:00+00:00,2026-05-02 02:59:00+00:00,SELL,2295.87,,,2303.31,TRANSITION,-0.003240601602007106,0.005431492201213595,0.0001916484818391523,30,5
2026-05-02 02:59:00+00:00,2026-05-02 04:59:00+00:00,BUY,2303.31,,,2301.26,TRANSITION,-0.0008900234879368072,0.0016150670122561878,0.002183813728938007,120,2
2026-05-02 04:59:00+00:00,2026-05-02 06:59:00+00:00,SELL,2301.26,,,2305.58,TRANSITION,-0.0018772324726452937,0.0022118317791121776,0.0020162867298785564,120,20
2026-05-02 06:59:00+00:00,2026-05-02 07:59:00+00:00,BUY,2305.58,,,2301.02,TRANSITION,-0.0019778103557456022,0.0019821476591572224,0.0002515635978798945,60,1
2026-05-02 07:59:00+00:00,2026-05-02 08:29:00+00:00,SELL,2301.02,,,2302.83,TRANSITION,-0.0007866076783339326,0.0010212862122015059,0.0008561420587390809,30,1
2026-05-02 08:29:00+00:00,2026-05-02 10:59:00+00:00,BUY,2302.83,,,2303.54,TRANSITION,0.00030831628908779043,0.00018238428368575743,0.0021495290577247445,150,3
2026-05-02 10:59:00+00:00,2026-05-02 11:29:00+00:00,SELL,2303.54,,,2304.7,TRANSITION,-0.0005035727619228902,0.0006294659524036127,0.0009116403448604796,30,1
2026-05-02 11:29:00+00:00,2026-05-02 17:29:00+00:00,BUY,2304.7,,,2307.28,TRANSITION,0.001119451555517153,0.0019308369852908485,0.004026554432247234,360,10
2026-05-02 17:29:00+00:00,2026-05-02 18:29:00+00:00,SELL,2307.28,,,2309.28,TRANSITION,-0.0008668215387815956,0.0013089005235602015,0.001386914462050671,60,10
2026-05-02 18:29:00+00:00,2026-05-02 23:59:00+00:00,BUY,2309.28,,,2316.97,TRANSITION,0.003330042264255352,0.000155892745790951,0.014861775098731945,330,2
2026-05-02 23:59:00+00:00,2026-05-02 23:59:00+00:00,SELL,2316.97,,,2316.97,SESSION_RESET,0.0,0.0,0.0,0,1
2026-05-03 01:29:00+00:00,2026-05-03 04:29:00+00:00,SELL,2307.48,,,2303.69,TRANSITION,0.0016424844419019725,4.333732036578229e-06,0.004286060984277165,180,5
2026-05-03 04:29:00+00:00,2026-05-03 04:59:00+00:00,BUY,2303.69,,,2301.53,TRANSITION,-0.000937626156297008,0.0012328047610573234,0.000295178604760118,30,2
2026-05-03 04:59:00+00:00,2026-05-03 05:59:00+00:00,SELL,2301.53,,,2304.11,TRANSITION,-0.0011209934261121632,0.0017510091113301781,0.00011731326552336132,60,12
2026-05-03 05:59:00+00:00,2026-05-03 06:29:00+00:00,BUY,2304.11,,,2301.0,TRANSITION,-0.0013497619471293156,0.001918311191740009,0.0,30,2
2026-05-03 06:29:00+00:00,2026-05-03 06:59:00+00:00,SELL,2301.0,,,2304.49,TRANSITION,-0.0015167318557148116,0.0023381138635376396,4.345936549421243e-06,30,2
2026-05-03 06:59:00+00:00,2026-05-03 08:29:00+00:00,BUY,2304.49,,,2308.8,TRANSITION,0.001870261966856181,3.037548438036571e-05,0.004131065875747101,90,2
2026-05-03 08:29:00+00:00,2026-05-03 09:29:00+00:00,SELL,2308.8,,,2312.36,TRANSITION,-0.001541926541926518,0.002018364518364455,0.0005673943173944907,60,2
2026-05-03 09:29:00+00:00,2026-05-03 10:29:00+00:00,BUY,2312.36,,,2311.41,TRANSITION,-0.0004108356830252525,0.0005794945423723579,0.0042856648618726555,60,5
2026-05-03 10:29:00+00:00,2026-05-03 11:59:00+00:00,SELL,2311.41,,,2319.63,TRANSITION,-0.003556270847664523,0.006961118970671645,0.0003850463569855079,90,2
2026-05-03 11:59:00+00:00,2026-05-03 13:59:00+00:00,BUY,2319.63,,,2322.21,TRANSITION,0.0011122463496333152,0.0,0.005595720007070101,120,2
2026-05-03 13:59:00+00:00,2026-05-03 14:29:00+00:00,SELL,2322.21,,,2324.64,TRANSITION,-0.001046416990711364,0.001890440571696734,0.00043923676153318685,30,2
2026-05-03 14:29:00+00:00,2026-05-03 16:59:00+00:00,BUY,2324.64,,,2328.41,TRANSITION,0.0016217564870259404,0.0009721935439464879,0.00445660403331274,150,3
2026-05-03 16:59:00+00:00,2026-05-03 17:29:00+00:00,SELL,2328.41,,,2332.41,TRANSITION,-0.0017179105054522185,0.002701414269823598,0.0018467537933610177,30,1
2026-05-03 17:29:00+00:00,2026-05-03 19:29:00+00:00,BUY,2332.41,,,2328.94,TRANSITION,-0.0014877315737798244,0.0017664132806838812,0.0012604987973812729,120,3
2026-05-03 19:29:00+00:00,2026-05-03 19:59:00+00:00,SELL,2328.94,,,2335.59,TRANSITION,-0.0028553762655972635,0.003834362413801917,0.0,30,2
2026-05-03 19:59:00+00:00,2026-05-03 20:59:00+00:00,BUY,2335.59,,,2329.58,TRANSITION,-0.0025732256089468692,0.0031298301499834923,0.003750658291909009,60,6
2026-05-03 20:59:00+00:00,2026-05-03 22:29:00+00:00,SELL,2329.58,,,2338.66,TRANSITION,-0.0038976982975471664,0.011736021085345919,0.006258638896281702,90,12
2026-05-03 22:29:00+00:00,2026-05-03 23:29:00+00:00,BUY,2338.66,,,2326.65,TRANSITION,-0.005135419428219478,0.007281947782063125,0.005567290670725964,60,3
2026-05-03 23:29:00+00:00,2026-05-03 23:59:00+00:00,SELL,2326.65,,,2322.65,SESSION_RESET,0.001719210022994434,0.001010035888509191,0.0028753787634582142,30,10
2026-05-04 05:29:00+00:00,2026-05-04 09:29:00+00:00,SELL,2377.7,,,2362.85,TRANSITION,0.006245531395886744,0.0016570635488076945,0.009883500862177735,240,5
2026-05-04 09:29:00+00:00,2026-05-04 10:29:00+00:00,BUY,2362.85,,,2324.18,TRANSITION,-0.016365829400935342,0.020568381403813153,0.0034873140487124603,60,1
2026-05-04 10:29:00+00:00,2026-05-04 12:29:00+00:00,SELL,2324.18,,,2340.84,TRANSITION,-0.007168119508816146,0.009340928843721242,0.0010799507783389255,120,2
2026-05-04 12:29:00+00:00,2026-05-04 12:59:00+00:00,BUY,2340.84,,,2335.53,TRANSITION,-0.002268416465884018,0.002268416465884018,0.0006108918166127698,30,15
2026-05-04 12:59:00+00:00,2026-05-04 14:29:00+00:00,SELL,2335.53,,,2345.76,TRANSITION,-0.004380162104533025,0.007360213741634489,0.004204613085680836,90,2
2026-05-04 14:29:00+00:00,2026-05-04 18:29:00+00:00,BUY,2345.76,,,2363.76,TRANSITION,0.00767341927562922,0.004156435440965827,0.015363890594093155,240,2
2026-05-04 18:29:00+00:00,2026-05-04 21:29:00+00:00,SELL,2363.76,,,2359.16,TRANSITION,0.0019460520526620145,0.0010703286289639156,0.00676464615697035,180,1
2026-05-04 21:29:00+00:00,2026-05-04 22:59:00+00:00,BUY,2359.16,,,2354.58,TRANSITION,-0.0019413689618338423,0.002208413164007544,0.0028611878804320184,90,1
